UniqID	ICD-10_Description	ICD-9_Description
010375	Ankylosis, unspecified joint	Ankylosis of joint, site unspecified
010384	Ankylosis, unspecified joint	Ankylosis of joint, other specified sites
010385	Ankylosis, unspecified joint	Ankylosis of joint, multiple sites
010376	Ankylosis, unspecified shoulder	Ankylosis of joint, shoulder region
010377	Ankylosis, unspecified elbow	Ankylosis of joint, upper arm
010378	Ankylosis, unspecified wrist	Ankylosis of joint, forearm
010379	Ankylosis, unspecified hand	Ankylosis of joint, hand
010380	Ankylosis, unspecified hip	Ankylosis of joint, pelvic region and thigh
010381	Ankylosis, unspecified knee	Ankylosis of joint, lower leg
010382	Ankylosis, unspecified ankle	Ankylosis of joint, ankle and foot
010383	Ankylosis, unspecified foot	Ankylosis of joint, ankle and foot
010386	Protrusio acetabuli	Unspecified intrapelvic protrusion of acetabulum, pelvic region and thigh
010387	Other specific joint derangements of unspecified joint, not elsewhere classified	Developmental dislocation of joint, site unspecified
010393	Other specific joint derangements of unspecified joint, not elsewhere classified	Developmental dislocation of joint, lower leg
010396	Other specific joint derangements of unspecified joint, not elsewhere classified	Developmental dislocation of joint, other specified sites
010397	Other specific joint derangements of unspecified joint, not elsewhere classified	Developmental dislocation of joint, multiple sites
010398	Other specific joint derangements of unspecified joint, not elsewhere classified	Other joint derangement, not elsewhere classified, site unspecified
010408	Other specific joint derangements of unspecified joint, not elsewhere classified	Other joint derangement, not elsewhere classified, other specified sites
010409	Other specific joint derangements of unspecified joint, not elsewhere classified	Other joint derangement, not elsewhere classified, multiple sites
010388	Other specific joint derangements of unspecified shoulder, not elsewhere classified	Developmental dislocation of joint, shoulder region
010399	Other specific joint derangements of unspecified shoulder, not elsewhere classified	Other joint derangement, not elsewhere classified, shoulder region
010389	Other specific joint derangements of unspecified elbow, not elsewhere classified	Developmental dislocation of joint, upper arm
010400	Other specific joint derangements of unspecified elbow, not elsewhere classified	Other joint derangement, not elsewhere classified, upper arm
010390	Other specific joint derangements of unspecified wrist, not elsewhere classified	Developmental dislocation of joint, forearm
010401	Other specific joint derangements of unspecified wrist, not elsewhere classified	Other joint derangement, not elsewhere classified, forearm
010391	Other specific joint derangements of unspecified hand, not elsewhere classified	Developmental dislocation of joint, hand
010402	Other specific joint derangements of unspecified hand, not elsewhere classified	Other joint derangement, not elsewhere classified, hand
010392	Other specific joint derangements of unspecified hip, not elsewhere classified	Developmental dislocation of joint, pelvic region and thigh
010403	Other specific joint derangements of unspecified hip, not elsewhere classified	Other joint derangement, not elsewhere classified, pelvic region and thigh
010394	Other specific joint derangements of unspecified ankle, not elsewhere classified	Developmental dislocation of joint, ankle and foot
010406	Other specific joint derangements of unspecified ankle, not elsewhere classified	Other joint derangement, not elsewhere classified, ankle and foot
010395	Other specific joint derangements of unspecified foot, not elsewhere classified	Developmental dislocation of joint, ankle and foot
010407	Other specific joint derangements of unspecified foot, not elsewhere classified	Other joint derangement, not elsewhere classified, ankle and foot
010410	Joint derangement, unspecified	Unspecified derangement of joint, site unspecified
010411	Joint derangement, unspecified	Unspecified derangement of joint, shoulder region
010412	Joint derangement, unspecified	Unspecified derangement of joint, upper arm
010413	Joint derangement, unspecified	Unspecified derangement of joint, forearm
010414	Joint derangement, unspecified	Unspecified derangement of joint, hand
010415	Joint derangement, unspecified	Unspecified derangement of joint, pelvic region and thigh
010416	Joint derangement, unspecified	Unspecified derangement of joint, ankle and foot
010417	Joint derangement, unspecified	Unspecified derangement of joint, other specified sites
010418	Joint derangement, unspecified	Unspecified derangement of joint, multiple sites
010430	Hemarthrosis, unspecified joint	Hemarthrosis, site unspecified
010440	Hemarthrosis, unspecified joint	Hemarthrosis, multiple sites
010431	Hemarthrosis, unspecified shoulder	Hemarthrosis, shoulder region
010432	Hemarthrosis, unspecified elbow	Hemarthrosis, upper arm
010433	Hemarthrosis, unspecified wrist	Hemarthrosis, forearm
010434	Hemarthrosis, unspecified hand	Hemarthrosis, hand
010435	Hemarthrosis, unspecified hip	Hemarthrosis, pelvic region and thigh
010436	Hemarthrosis, unspecified knee	Hemarthrosis, lower leg
010437	Hemarthrosis, unspecified ankle	Hemarthrosis, ankle and foot
010438	Hemarthrosis, unspecified foot	Hemarthrosis, ankle and foot
010439	Hemarthrosis, other specified site	Hemarthrosis, other specified sites
010504	Fistula, unspecified joint	Other specified disorders of joint, site unspecified
010522	Fistula, unspecified joint	Other specified disorders of joint, multiple sites
010506	Fistula, unspecified shoulder	Other specified disorders of joint, shoulder region
010508	Fistula, unspecified elbow	Other specified disorders of joint, upper arm
010510	Fistula, unspecified wrist	Other specified disorders of joint, forearm
010512	Fistula, unspecified hand	Other specified disorders of joint, hand
010514	Fistula, unspecified hip	Other specified disorders of joint, pelvic region and thigh
010516	Fistula, unspecified knee	Other specified disorders of joint, lower leg
010518	Fistula, unspecified ankle	Other specified disorders of joint, ankle and foot
010519	Fistula, unspecified foot	Other specified disorders of joint, ankle and foot
010521	Fistula, other specified site	Other specified disorders of joint, other specified sites
010419	Effusion, unspecified joint	Effusion of joint, site unspecified
010429	Effusion, unspecified joint	Effusion of joint, multiple sites
010420	Effusion, unspecified shoulder	Effusion of joint, shoulder region
010421	Effusion, unspecified elbow	Effusion of joint, upper arm
010422	Effusion, unspecified wrist	Effusion of joint, forearm
010423	Effusion, unspecified hand	Effusion of joint, hand
010424	Effusion, unspecified hip	Effusion of joint, pelvic region and thigh
010425	Effusion, unspecified knee	Effusion of joint, lower leg
010426	Effusion, unspecified ankle	Effusion of joint, ankle and foot
010427	Effusion, unspecified foot	Effusion of joint, ankle and foot
010428	Effusion, other site	Effusion of joint, other specified sites
010471	Pain in unspecified joint	Pain in joint, site unspecified
010480	Pain in unspecified joint	Pain in joint, other specified sites
010481	Pain in unspecified joint	Pain in joint, multiple sites
010472	Pain in unspecified shoulder	Pain in joint, shoulder region
010473	Pain in unspecified elbow	Pain in joint, upper arm
010474	Pain in unspecified wrist	Pain in joint, forearm
010477	Pain in unspecified hip	Pain in joint, pelvic region and thigh
010478	Pain in unspecified knee	Pain in joint, lower leg
010479	Pain in unspecified ankle and joints of unspecified foot	Pain in joint, ankle and foot
010482	Stiffness of unspecified joint, not elsewhere classified	Stiffness of joint, not elsewhere classified, site unspecified
010491	Stiffness of unspecified joint, not elsewhere classified	Stiffness of joint, not elsewhere classified, other specified sites
010492	Stiffness of unspecified joint, not elsewhere classified	Stiffness of joint, not elsewhere classified, multiple sites
010483	Stiffness of unspecified shoulder, not elsewhere classified	Stiffness of joint, not elsewhere classified, shoulder region
010484	Stiffness of unspecified elbow, not elsewhere classified	Stiffness of joint, not elsewhere classified, upper arm
010485	Stiffness of unspecified wrist, not elsewhere classified	Stiffness of joint, not elsewhere classified, forearm
010486	Stiffness of unspecified hand, not elsewhere classified	Stiffness of joint, not elsewhere classified, hand
010487	Stiffness of unspecified hip, not elsewhere classified	Stiffness of joint, not elsewhere classified, pelvic region and thigh
010488	Stiffness of unspecified knee, not elsewhere classified	Stiffness of joint, not elsewhere classified, lower leg
010489	Stiffness of unspecified ankle, not elsewhere classified	Stiffness of joint, not elsewhere classified, ankle and foot
010490	Stiffness of unspecified foot, not elsewhere classified	Stiffness of joint, not elsewhere classified, ankle and foot
010664	Osteophyte, unspecified joint	Exostosis of unspecified site
010638	Osteophyte, unspecified elbow	Enthesopathy of elbow, unspecified
010505	Other specified joint disorders, unspecified joint	Other specified disorders of joint, site unspecified
010523	Other specified joint disorders, unspecified joint	Other specified disorders of joint, multiple sites
010507	Other specified joint disorders, unspecified shoulder	Other specified disorders of joint, shoulder region
010509	Other specified joint disorders, unspecified elbow	Other specified disorders of joint, upper arm
010511	Other specified joint disorders, unspecified wrist	Other specified disorders of joint, forearm
010513	Other specified joint disorders, unspecified hand	Other specified disorders of joint, hand
010515	Other specified joint disorders, unspecified hip	Other specified disorders of joint, pelvic region and thigh
010517	Other specified joint disorders, unspecified knee	Other specified disorders of joint, lower leg
010520	Other specified joint disorders, unspecified ankle and foot	Other specified disorders of joint, ankle and foot
010524	Joint disorder, unspecified	Unspecified disorder of joint, site unspecified
010525	Joint disorder, unspecified	Unspecified disorder of joint, shoulder region
010526	Joint disorder, unspecified	Unspecified disorder of joint, upper arm
010527	Joint disorder, unspecified	Unspecified disorder of joint, forearm
010528	Joint disorder, unspecified	Unspecified disorder of joint, hand
010529	Joint disorder, unspecified	Unspecified disorder of joint, pelvic region and thigh
010530	Joint disorder, unspecified	Unspecified disorder of joint, lower leg
010531	Joint disorder, unspecified	Unspecified disorder of joint, ankle and foot
010532	Joint disorder, unspecified	Unspecified disorder of joint, other specified sites
010533	Joint disorder, unspecified	Unspecified disorder of joint, multiple sites
006561	Unspecified anomaly of jaw size	Major anomalies of jaw size, unspecified anomaly
006562	Maxillary hyperplasia	Major anomalies of jaw size, maxillary hyperplasia
006564	Maxillary hypoplasia	Major anomalies of jaw size, maxillary hypoplasia
006563	Mandibular hyperplasia	Major anomalies of jaw size, mandibular hyperplasia
006565	Mandibular hypoplasia	Major anomalies of jaw size, mandibular hypoplasia
006566	Macrogenia	Major anomalies of jaw size, macrogenia
006567	Microgenia	Major anomalies of jaw size, microgenia
006568	Excessive tuberosity of jaw	Excessive tuberosity of jaw
006569	Other specified anomalies of jaw size	Major anomalies of jaw size, other specified anomaly
006570	Unspecified anomaly of jaw-cranial base relationship	Anomalies of relationship of jaw to cranial base, unspecified anomaly
006571	Maxillary asymmetry	Anomalies of relationship of jaw to cranial base, maxillary asymmetry
006572	Other jaw asymmetry	Anomalies of relationship of jaw to cranial base, other jaw asymmetry
006573	Other specified anomalies of jaw-cranial base relationship	Anomalies of relationship of jaw to cranial base, other specified anomaly
006574	Unspecified anomaly of dental arch relationship	Unspecified anomaly of dental arch relationship
006575	Malocclusion, Angle's class I	Malocclusion, Angle's class I
006576	Malocclusion, Angle's class II	Malocclusion, Angle's class II
006577	Malocclusion, Angle's class III	Malocclusion, Angle's class III
006578	Open anterior occlusal relationship	Open anterior occlusal relationship
006579	Open posterior occlusal relationship	Open posterior occlusal relationship
006580	Excessive horizontal overlap	Excessive horizontal overlap
006581	Reverse articulation	Reverse articulation
006582	Anomalies of interarch distance	Anomalies of interarch distance
006583	Other anomalies of dental arch relationship	Other anomalies of dental arch relationship
006584	Unspecified anomaly of tooth position of fully erupted tooth or teeth	Unspecified anomaly of tooth position
006585	Crowding of fully erupted teeth	Crowding of teeth
006586	Excessive spacing of fully erupted teeth	Excessive spacing of teeth
006587	Horizontal displacement of fully erupted tooth or teeth	Horizontal displacement of teeth
006588	Vertical displacement of fully erupted tooth or teeth	Vertical displacement of teeth
006589	Rotation of fully erupted tooth or teeth	Rotation of tooth/teeth
006590	Insufficient interocclusal distance of fully erupted teeth (ridge)	Insufficient interocclusal distance of teeth (ridge)
006591	Excessive interocclusal distance of fully erupted teeth	Excessive interocclusal distance of teeth
006592	Other anomalies of tooth position of fully erupted tooth or teeth	Other anomalies of tooth position
006593	Malocclusion, unspecified	Malocclusion, unspecified
006620	Malocclusion, unspecified	Other specified dentofacial anomalies
006594	Dentofacial functional abnormalities, unspecified	Dentofacial functional abnormality, unspecified
006595	Abnormal jaw closure	Abnormal jaw closure
006596	Limited mandibular range of motion	Limited mandibular range of motion
006597	Deviation in opening and closing of the mandible	Deviation in opening and closing of the mandible
006598	Insufficient anterior guidance	Insufficient anterior guidance
006599	Centric occlusion maximum intercuspation discrepancy	Centric occlusion maximum intercuspation discrepancy
006600	Non-working side interference	Non-working side interference
006601	Lack of posterior occlusal support	Lack of posterior occlusal support
006602	Other dentofacial functional abnormalities	Other dentofacial functional abnormalities
006603	Temporomandibular joint disorder, unspecified	Temporomandibular joint disorders, unspecified
006605	Adhesions and ankylosis of temporomandibular joint	Temporomandibular joint disorders, adhesions and ankylosis (bony or fibrous)
006606	Arthralgia of temporomandibular joint	Temporomandibular joint disorders, arthralgia of temporomandibular joint
006607	Articular disc disorder of temporomandibular joint	Temporomandibular joint disorders, articular disc disorder (reducing or non-reducing)
006604	Other specified disorders of temporomandibular joint	Temporomandibular joint disorders, unspecified
006608	Other specified disorders of temporomandibular joint	Temporomandibular joint sounds on opening and/or closing the jaw
006609	Other specified disorders of temporomandibular joint	Other specified temporomandibular joint disorders
006610	Unspecified alveolar anomaly	Dental alveolar anomalies, unspecified alveolar anomaly
006611	Alveolar maxillary hyperplasia	Alveolar maxillary hyperplasia
006612	Alveolar mandibular hyperplasia	Alveolar mandibular hyperplasia
006613	Alveolar maxillary hypoplasia	Alveolar maxillary hypoplasia
006614	Alveolar mandibular hypoplasia	Alveolar mandibular hypoplasia
006615	Other specified alveolar anomalies	Vertical displacement of alveolus and teeth
006616	Other specified alveolar anomalies	Occlusal plane deviation
006617	Other specified alveolar anomalies	Other specified alveolar anomaly
006661	Other specified alveolar anomalies	Other specified disorders of the teeth and supporting structures
006618	Anterior soft tissue impingement	Anterior soft tissue impingement
006619	Posterior soft tissue impingement	Posterior soft tissue impingement
006621	Other dentofacial anomalies	Other specified dentofacial anomalies
006622	Dentofacial anomaly, unspecified	Unspecified dentofacial anomalies
006666	Giant cell granuloma, central	Central giant cell (reparative) granuloma
006667	Inflammatory conditions of jaws	Inflammatory conditions of jaw
006668	Alveolitis of jaws	Alveolitis of jaw
006665	Other cysts of jaw	Other cysts of jaws
006669	Perforation of root canal space due to endodontic treatment	Perforation of root canal space
006670	Endodontic overfill	Endodontic overfill
006671	Endodontic underfill	Endodontic underfill
006672	Other periradicular pathology associated with previous endodontic treatment	Other periradicular pathology associated with previous endodontic treatment
006656	Osseointegration failure of dental implant	Osseointegration failure of dental implant
006657	Post-osseointegration biological failure of dental implant	Post-osseointegration biological failure of dental implant
006658	Post-osseointegration mechanical failure of dental implant	Post-osseointegration mechanical failure of dental implant
006659	Other endosseous dental implant failure	Other endosseous dental implant failure
006673	Other specified diseases of jaws	Exostosis of jaw
006674	Other specified diseases of jaws	Other specified diseases of the jaws
006675	Disease of jaws, unspecified	Unspecified disease of the jaws
006042	Polyarteritis nodosa	Polyarteritis nodosa
006043	Mucocutaneous lymph node syndrome [Kawasaki]	Acute febrile mucocutaneous lymph node syndrome [MCLS]
006044	Hypersensitivity angiitis	Hypersensitivity angiitis, unspecified
006045	Hypersensitivity angiitis	Goodpasture's syndrome
006046	Hypersensitivity angiitis	Other specified hypersensitivity angiitis
006050	Thrombotic microangiopathy	Thrombotic microangiopathy
006047	Lethal midline granuloma	Lethal midline granuloma
006048	Wegener's granulomatosis without renal involvement	Wegener's granulomatosis
006051	Aortic arch syndrome [Takayasu]	Takayasu's disease
006049	Other giant cell arteritis	Giant cell arteritis
009943	Systemic lupus erythematosus, organ or system involvement unspecified	Systemic lupus erythematosus
009950	Polymyositis, organ involvement unspecified	Polymyositis
009949	Dermatopolymyositis, unspecified, organ involvement unspecified	Dermatomyositis
009944	Progressive systemic sclerosis	Systemic sclerosis
009945	CR(E)ST syndrome	Systemic sclerosis
006436	Systemic sclerosis with lung involvement	Lung involvement in systemic sclerosis
009946	Systemic sclerosis, unspecified	Systemic sclerosis
009947	Sicca syndrome, unspecified	Sicca syndrome
009948	Sicca syndrome with keratoconjunctivitis	Sicca syndrome
001432	Behcet's disease	Behcet's syndrome
010006	Behcet's disease	Arthropathy in Behcet's syndrome, site unspecified
010007	Behcet's disease	Arthropathy in Behcet's syndrome, shoulder region
010008	Behcet's disease	Arthropathy in Behcet's syndrome, upper arm
010009	Behcet's disease	Arthropathy in Behcet's syndrome, forearm
010010	Behcet's disease	Arthropathy in Behcet's syndrome, hand
010011	Behcet's disease	Arthropathy in Behcet's syndrome, pelvic region and thigh
010012	Behcet's disease	Arthropathy in Behcet's syndrome, lower leg
010013	Behcet's disease	Arthropathy in Behcet's syndrome, ankle and foot
010014	Behcet's disease	Arthropathy in Behcet's syndrome, other specified sites
010015	Behcet's disease	Arthropathy in Behcet's syndrome, multiple sites
010627	Polymyalgia rheumatica	Polymyalgia rheumatica
009952	Multifocal fibrosclerosis	Other specified diffuse diseases of connective tissue
010731	Hypermobility syndrome	Hypermobility syndrome
009951	Other specified systemic involvement of connective tissue	Eosinophilia myalgia syndrome
003251	Systemic involvement of connective tissue, unspecified	Other specified disorders involving the immune mechanism
009953	Systemic involvement of connective tissue, unspecified	Unspecified diffuse connective tissue disease
010139	Hemophilic arthropathy	Arthropathy associated with hematological disorders
010140	Arthropathy in other blood disorders	Arthropathy associated with hematological disorders
010145	Arthropathy in hypersensitivity reactions classified elsewhere	Arthropathy associated with hypersensitivity reaction
011031	Postural kyphosis, site unspecified	Adolescent postural kyphosis
011032	Postural kyphosis, site unspecified	Kyphosis (acquired) (postural)
011049	Other secondary kyphosis, site unspecified	Kyphosis associated with other conditions
011033	Unspecified kyphosis, site unspecified	Kyphosis (acquired) (postural)
011036	Other kyphosis, site unspecified	Other kyphosis (acquired)
011037	Postural lordosis, site unspecified	Lordosis (acquired) (postural)
011040	Lordosis, unspecified, site unspecified	Other lordosis (acquired)
011050	Lordosis, unspecified, site unspecified	Lordosis associated with other conditions
011042	Infantile idiopathic scoliosis, site unspecified	Resolving infantile idiopathic scoliosis
011043	Infantile idiopathic scoliosis, site unspecified	Progressive infantile idiopathic scoliosis
011041	Other idiopathic scoliosis, site unspecified	Scoliosis [and kyphoscoliosis], idiopathic
011045	Thoracogenic scoliosis, site unspecified	Thoracogenic scoliosis
011051	Neuromuscular scoliosis, site unspecified	Scoliosis associated with other conditions
011052	Other secondary scoliosis, site unspecified	Scoliosis associated with other conditions
011046	Other forms of scoliosis, site unspecified	Other kyphoscoliosis and scoliosis
011047	Scoliosis, unspecified	Other kyphoscoliosis and scoliosis
010855	Juvenile osteochondrosis of spine, site unspecified	Juvenile osteochondrosis of spine
010865	Adult osteochondrosis of spine, site unspecified	Other specified forms of osteochondropathy
011062	Spondylolysis, site unspecified	Acquired spondylolisthesis
011063	Spondylolisthesis, site unspecified	Acquired spondylolisthesis
010617	Fusion of spine, lumbosacral region	Disorders of sacrum
010618	Fusion of spine, sacral and sacrococcygeal region	Disorders of sacrum
010361	Other recurrent atlantoaxial dislocation	Recurrent dislocation of joint, other specified sites
010362	Other recurrent vertebral dislocation, site unspecified	Recurrent dislocation of joint, other specified sites
010363	Other recurrent vertebral dislocation, site unspecified	Recurrent dislocation of joint, multiple sites
010598	Torticollis	Torticollis, unspecified
010625	Other specified deforming dorsopathies, site unspecified	Other unspecified back disorders
011048	Other specified deforming dorsopathies, site unspecified	Curvature of spine, unspecified, associated with other conditions
011053	Other specified deforming dorsopathies, site unspecified	Other curvatures of spine
011054	Other specified deforming dorsopathies, site unspecified	Unspecified curvature of spine
010534	Ankylosing spondylitis of unspecified sites in spine	Ankylosing spondylitis
010535	Spinal enthesopathy, site unspecified	Spinal enthesopathy
010536	Sacroiliitis, not elsewhere classified	Sacroiliitis, not elsewhere classified
010808	Osteomyelitis of vertebra, site unspecified	Unspecified osteomyelitis, other specified sites
010848	Infection of intervertebral disc (pyogenic), site unspecified	Unspecified infection of bone, other specified sites
010582	Discitis, unspecified, site unspecified	Other and unspecified disc disorder, unspecified region
010586	Discitis, unspecified, thoracolumbar region	Other and unspecified disc disorder, thoracic region
010589	Discitis, unspecified, lumbosacral region	Other and unspecified disc disorder, lumbar region
010538	Other specified inflammatory spondylopathies, site unspecified	Other inflammatory spondylopathies
010539	Unspecified inflammatory spondylopathy, site unspecified	Unspecified inflammatory spondylopathy
010551	Other spondylosis with myelopathy, site unspecified	Spondylosis of unspecified site, with myelopathy
010541	Other spondylosis with myelopathy, cervical region	Cervical spondylosis with myelopathy
010544	Other spondylosis with myelopathy, thoracic region	Spondylosis with myelopathy, thoracic region
010545	Other spondylosis with myelopathy, lumbar region	Spondylosis with myelopathy, lumbar region
010540	Spondylosis without myelopathy or radiculopathy, cervical region	Cervical spondylosis without myelopathy
010542	Spondylosis without myelopathy or radiculopathy, thoracic region	Thoracic spondylosis without myelopathy
010543	Spondylosis without myelopathy or radiculopathy, lumbosacral region	Lumbosacral spondylosis without myelopathy
010550	Spondylosis without myelopathy or radiculopathy, site unspecified	Spondylosis of unspecified site, without mention of myelopathy
010603	Spinal stenosis, site unspecified	Spinal stenosis, unspecified region
010592	Spinal stenosis, cervical region	Spinal stenosis in cervical region
010604	Spinal stenosis, thoracic region	Spinal stenosis, thoracic region
010605	Spinal stenosis, lumbar region	Spinal stenosis, lumbar region, without neurogenic claudication
010606	Spinal stenosis, lumbar region	Spinal stenosis, lumbar region, with neurogenic claudication
010607	Spinal stenosis, sacral and sacrococcygeal region	Spinal stenosis, other region
010547	Ankylosing hyperostosis [Forestier], site unspecified	Ankylosing vertebral hyperostosis
010546	Kissing spine, site unspecified	Kissing spine
010548	Traumatic spondylopathy, site unspecified	Traumatic spondylopathy
010965	Fatigue fracture of vertebra, site unspecified, initial encounter for fracture	Stress fracture of other bone
010966	Fatigue fracture of vertebra, occipito-atlanto-axial region, initial encounter for fracture	Stress fracture of other bone
010967	Fatigue fracture of vertebra, cervical region, initial encounter for fracture	Stress fracture of other bone
010968	Fatigue fracture of vertebra, cervicothoracic region, initial encounter for fracture	Stress fracture of other bone
010969	Fatigue fracture of vertebra, thoracic region, initial encounter for fracture	Stress fracture of other bone
010970	Fatigue fracture of vertebra, thoracolumbar region, initial encounter for fracture	Stress fracture of other bone
010971	Fatigue fracture of vertebra, lumbar region, initial encounter for fracture	Stress fracture of other bone
010972	Fatigue fracture of vertebra, lumbosacral region, initial encounter for fracture	Stress fracture of other bone
010973	Fatigue fracture of vertebra, sacral and sacrococcygeal region, initial encounter for fracture	Stress fracture of other bone
010877	Collapsed vertebra, not elsewhere classified, site unspecified, initial encounter for fracture	Pathologic fracture of vertebrae
010549	Spondylopathy, unspecified	Other allied disorders of spine
010537	Spondylopathy in diseases classified elsewhere, site unspecified	Inflammatory spondylopathies in diseases classified elsewhere
010574	Cervical disc disorder with myelopathy, unspecified cervical region	Intervertebral disc disorder with myelopathy, cervical region
010552	Other cervical disc displacement, unspecified cervical region	Displacement of cervical intervertebral disc without myelopathy
010564	Other cervical disc degeneration, unspecified cervical region	Degeneration of cervical intervertebral disc
010584	Other cervical disc disorders, unspecified cervical region	Other and unspecified disc disorder, cervical region
010585	Cervical disc disorder, unspecified, unspecified cervical region	Other and unspecified disc disorder, cervical region
010575	Intervertebral disc disorders with myelopathy, thoracic region	Intervertebral disc disorder with myelopathy, thoracic region
010576	Intervertebral disc disorders with myelopathy, thoracolumbar region	Intervertebral disc disorder with myelopathy, thoracic region
010577	Intervertebral disc disorders with myelopathy, lumbar region	Intervertebral disc disorder with myelopathy, lumbar region
010555	Other intervertebral disc displacement, thoracic region	Displacement of thoracic intervertebral disc without myelopathy
010556	Other intervertebral disc displacement, thoracolumbar region	Displacement of thoracic intervertebral disc without myelopathy
010553	Other intervertebral disc displacement, lumbar region	Displacement of lumbar intervertebral disc without myelopathy
010554	Other intervertebral disc displacement, lumbosacral region	Displacement of lumbar intervertebral disc without myelopathy
010565	Other intervertebral disc degeneration, thoracic region	Degeneration of thoracic or thoracolumbar intervertebral disc
010569	Other intervertebral disc degeneration, thoracic region	Degeneration of intervertebral disc, site unspecified
010566	Other intervertebral disc degeneration, thoracolumbar region	Degeneration of thoracic or thoracolumbar intervertebral disc
010570	Other intervertebral disc degeneration, thoracolumbar region	Degeneration of intervertebral disc, site unspecified
010567	Other intervertebral disc degeneration, lumbar region	Degeneration of lumbar or lumbosacral intervertebral disc
010571	Other intervertebral disc degeneration, lumbar region	Degeneration of intervertebral disc, site unspecified
010568	Other intervertebral disc degeneration, lumbosacral region	Degeneration of lumbar or lumbosacral intervertebral disc
010572	Other intervertebral disc degeneration, lumbosacral region	Degeneration of intervertebral disc, site unspecified
010559	Schmorl's nodes, thoracic region	Schmorl's nodes, thoracic region
010560	Schmorl's nodes, thoracolumbar region	Schmorl's nodes, thoracic region
010561	Schmorl's nodes, lumbar region	Schmorl's nodes, lumbar region
010562	Schmorl's nodes, lumbosacral region	Schmorl's nodes, lumbar region
010587	Other intervertebral disc disorders, thoracic region	Other and unspecified disc disorder, thoracic region
010588	Other intervertebral disc disorders, thoracolumbar region	Other and unspecified disc disorder, thoracic region
010590	Other intervertebral disc disorders, lumbar region	Other and unspecified disc disorder, lumbar region
010591	Other intervertebral disc disorders, lumbosacral region	Other and unspecified disc disorder, lumbar region
010557	Unspecified thoracic, thoracolumbar and lumbosacral intervertebral disc disorder	Displacement of intervertebral disc, site unspecified, without myelopathy
010558	Unspecified thoracic, thoracolumbar and lumbosacral intervertebral disc disorder	Schmorl's nodes, unspecified region
010563	Unspecified thoracic, thoracolumbar and lumbosacral intervertebral disc disorder	Schmorl's nodes, other region
010573	Unspecified thoracic, thoracolumbar and lumbosacral intervertebral disc disorder	Intervertebral disc disorder with myelopathy, unspecified region
010583	Unspecified thoracic, thoracolumbar and lumbosacral intervertebral disc disorder	Other and unspecified disc disorder, unspecified region
010594	Cervicocranial syndrome	Cervicocranial syndrome
010595	Cervicobrachial syndrome	Cervicobrachial syndrome (diffuse)
010619	Spinal instabilities, lumbosacral region	Disorders of sacrum
010622	Spinal instabilities, sacral and sacrococcygeal region	Hypermobility of coccyx
010620	Sacrococcygeal disorders, not elsewhere classified	Disorders of sacrum
010621	Sacrococcygeal disorders, not elsewhere classified	Unspecified disorder of coccyx
010623	Sacrococcygeal disorders, not elsewhere classified	Other disorders of coccyx
010601	Other specified dorsopathies, cervical region	Other syndromes affecting cervical region
010602	Other specified dorsopathies, cervical region	Unspecified musculoskeletal disorders and symptoms referable to neck
010626	Dorsopathy, unspecified	Other unspecified back disorders
010599	Panniculitis affecting regions of neck and back, cervical region	Panniculitis specified as affecting neck
010624	Panniculitis affecting regions of neck and back, sacral and sacrococcygeal region	Other symptoms referable to back
010751	Radiculopathy, site unspecified	Neuralgia, neuritis, and radiculitis, unspecified
010596	Radiculopathy, cervical region	Brachial neuritis or radiculitis NOS
010597	Radiculopathy, cervicothoracic region	Brachial neuritis or radiculitis NOS
010611	Radiculopathy, thoracic region	Thoracic or lumbosacral neuritis or radiculitis, unspecified
010612	Radiculopathy, thoracolumbar region	Thoracic or lumbosacral neuritis or radiculitis, unspecified
010613	Radiculopathy, lumbar region	Thoracic or lumbosacral neuritis or radiculitis, unspecified
010614	Radiculopathy, lumbosacral region	Thoracic or lumbosacral neuritis or radiculitis, unspecified
010593	Cervicalgia	Cervicalgia
010610	Sciatica, unspecified side	Sciatica
010609	Low back pain	Lumbago
010608	Pain in thoracic spine	Pain in thoracic spine
010615	Other dorsalgia	Backache, unspecified
010616	Dorsalgia, unspecified	Backache, unspecified
000696	Infective myositis, unspecified site	Tropical pyomyositis
010721	Infective myositis, unspecified site	Infective myositis
010736	Interstitial myositis of unspecified site	Interstitial myositis
010737	Foreign body granuloma of soft tissue, not elsewhere classified, unspecified site	Foreign body granuloma of muscle
010748	Myositis, unspecified	Myalgia and myositis, unspecified
010724	Myositis ossificans traumatica, unspecified site	Traumatic myositis ossificans
010723	Myositis ossificans progressiva, unspecified site	Progressive myositis ossificans
010725	Other calcification of muscle, unspecified site	Postoperative heterotopic calcification
010726	Other ossification of muscle, multiple sites	Other muscular calcification and ossification
010722	Calcification and ossification of muscle, unspecified	Calcification and ossification, unspecified
010739	Separation of muscle (nontraumatic), unspecified site	Diastasis of muscle
010738	Other rupture of muscle (nontraumatic), unspecified site	Rupture of muscle, nontraumatic
010728	Immobility syndrome (paraplegic)	Other specific muscle disorders
010740	Contracture of muscle, unspecified site	Spasm of muscle
010727	Muscle wasting and atrophy, not elsewhere classified, unspecified site	Muscular wasting and disuse atrophy, not elsewhere classified
010743	Muscle weakness (generalized)	Muscle weakness (generalized)
010744	Rhabdomyolysis	Rhabdomyolysis
010741	Other muscle spasm	Spasm of muscle
